Pos,No.,Name,Team,Gender,Class,Time,Behind,Hardtail,eBike,S1: Rockshox Point n Shoot,,,S2: Peatys Castle,,,S3: Camelbak Grand Canyon,,,S4: Exposure Booze Cruise,,,S5: Fox Moor Line,,,S6: Topeak Rake n Ride,,,S7: Maxxis Thistle Hill,,,Bonus,Penalty Details
221st,59,Paul Jepson,SplatShop.co.uk,M,Enduro | Grand Vet Male (50+),23:09.6,+4:29.01,,,03:58.1,226th,+0:52.84,04:14.5,310th=,+1:06.79,02:35.1,168th=,+0:29.96,03:40.5,220th,+0:41.05,02:24.4,228th=,+0:21.10,02:27.9,207th,+0:21.55,03:49.2,263rd,+0:40.25,,
222nd,178,Stuart Whitehead,Catalina Wine Mixer,M,Enduro | Veteran Male (40-49),23:09.7,+4:29.10,,,03:51.3,157th,+0:46.04,04:08.4,266th,+1:00.73,02:43.5,311th,+0:38.44,03:45.9,300th=,+0:46.40,02:23.9,216th,+0:20.66,02:31.3,290th,+0:24.90,03:45.5,228th,+0:36.46,,
223rd,361,Tom Cuthbert,Team Tom,M,Enduro | Master Male (30-39),23:10.6,+4:30.02,,,03:56.8,212th,+0:51.56,04:07.4,259th,+0:59.75,02:41.9,278th=,+0:36.80,03:40.2,217th,+0:40.74,02:26.2,282nd,+0:22.94,02:31.3,292nd,+0:24.96,03:46.8,244th,+0:37.80,,
224th,1080,Richard Mawson,Teamjed,M,Enduro | Grand Vet Male (50+),23:10.8,+4:30.18,,,03:55.9,203rd,+0:50.65,03:58.3,198th,+0:50.65,02:42.5,292nd=,+0:37.45,03:41.8,236th,+0:42.40,02:27.4,313th=,+0:24.10,02:29.4,244th=,+0:23.06,03:55.4,320th,+0:46.40,,
225th,302,Matthew Gibson,Scrambled legs,M,Enduro | Master Male (30-39),23:11.6,+4:31.03,,,04:09.6,329th,+1:04.39,03:58.0,195th,+0:50.30,02:35.3,175th=,+0:30.15,03:33.3,152nd,+0:33.90,02:38.1,552nd=,+0:34.81,02:31.4,294th,+0:25.01,03:46.0,234th=,+0:37.00,,
226th,721,Phil Crawford,Go Ard or Go Loam,M,Enduro | Master Male (30-39),23:11.9,+4:31.36,,,03:54.8,188th,+0:49.51,04:09.5,280th,+1:01.88,02:37.3,201st,+0:32.19,03:34.5,167th=,+0:35.05,02:27.6,318th=,+0:24.31,02:33.2,335th,+0:26.86,03:55.1,316th,+0:46.09,,
227th,1194,Grant Forbes,77 Suspension,M,Enduro | Master Male (30-39),23:12.1,+4:31.53,,,04:01.2,251st,+0:56.00,04:00.5,213th,+0:52.84,02:38.0,219th=,+0:32.95,03:47.0,313th,+0:47.51,02:28.3,334th,+0:25.10,02:33.3,337th,+0:26.91,03:43.7,204th,+0:34.75,,
n/c,327,Mathew Rennison,Peddelers Cycles,M,Enduro | Veteran Male (40-49),23:14.2,,,E,04:00.3,n/c,,04:13.0,n/c,,02:38.7,n/c,,03:30.0,n/c,,02:21.7,n/c,,02:34.0,n/c,,03:56.4,n/c,,,
228th,330,Bill Mulholland,Swaledale Winton,M,Enduro | Veteran Male (40-49),23:14.8,+4:34.21,,,04:12.9,358th=,+1:07.65,03:54.0,171st,+0:46.34,02:43.4,308th=,+0:38.30,03:39.5,211th,+0:40.05,02:29.1,350th,+0:25.81,02:33.2,332nd,+0:26.80,03:42.8,193rd,+0:33.79,,
n/c,1064,Rob Oliver,Team Oliver,M,Enduro | Grand Vet Male (50+),23:14.9,,,E,04:01.1,n/c,,03:53.9,n/c,,02:46.1,n/c,,03:39.4,n/c,,02:34.9,n/c,,02:39.9,n/c,,03:39.6,n/c,,,
229th,130,Adam Sebes,ATS Cycles,M,Enduro | Master Male (30-39),23:15.3,+4:34.67,,,04:04.1,281st,+0:58.80,04:11.7,298th,+1:04.04,02:38.3,224th,+0:33.19,03:45.9,300th=,+0:46.40,02:23.7,208th,+0:20.45,02:26.5,173rd,+0:20.11,03:45.2,222nd=,+0:36.21,,
230th,1015,Paul Burney,High Peak Cycles RT,M,Enduro | Master Male (30-39),23:15.5,+4:34.93,,,04:05.4,287th,+1:00.11,04:06.9,254th,+0:59.28,02:47.7,356th=,+0:42.60,03:38.0,196th,+0:38.51,02:20.6,151st,+0:17.35,02:26.4,171st,+0:20.01,03:50.6,274th=,+0:41.60,,
231st,242,Mark Brooks,Is That An Atherton?,M,Enduro | Veteran Male (40-49),23:15.5,+4:34.95,,,04:03.2,269th,+0:57.99,04:04.6,236th=,+0:56.98,02:42.0,280th=,+0:36.90,03:46.1,303rd,+0:46.61,02:24.4,228th=,+0:21.10,02:32.4,317th=,+0:26.05,03:42.8,195th=,+0:33.85,,
232nd,466,Ian Burkinshaw,Army Enduro MTB Team,M,Enduro | Master Male (30-39),23:15.8,+4:35.25,,,04:00.6,243rd,+0:55.31,04:08.2,264th,+1:00.54,02:42.7,295th,+0:37.60,03:43.2,261st=,+0:43.80,02:26.3,285th=,+0:23.04,02:29.7,258th=,+0:23.30,03:45.2,221st,+0:36.19,,
233rd,342,Matt Goodwin,Team Bad,M,Enduro | Master Male (30-39),23:16.4,+4:35.84,,,04:01.5,252nd,+0:56.21,04:17.9,354th,+1:10.19,02:36.2,192nd,+0:31.11,03:42.9,255th,+0:43.50,02:24.3,223rd=,+0:21.00,02:27.5,196th,+0:21.11,03:46.3,237th,+0:37.25,,
234th,398,Joe Braithwaite,,M,Enduro | Senior Male (18-29),23:16.6,+4:35.99,,,04:02.0,258th,+0:56.75,04:09.0,274th,+1:01.30,02:43.4,310th,+0:38.31,03:44.2,277th,+0:44.76,02:21.6,162nd=,+0:18.35,02:28.8,227th=,+0:22.44,03:47.6,254th,+0:38.61,,
235th,1061,Dominic Wood,Team Moron,M,Enduro | Veteran Male (40-49),23:16.8,+4:36.26,,,04:10.3,338th,+1:05.05,04:23.3,399th,+1:15.59,02:38.6,230th,+0:33.49,03:40.7,221st,+0:41.26,02:17.2,97th,+0:14.00,02:26.1,168th,+0:19.80,03:40.6,172nd,+0:31.60,,
236th,477,Max Wildbore,BackChegMafia,M,Enduro | Senior Male (18-29),23:17.0,+4:36.37,,,03:56.8,213th=,+0:51.60,04:09.3,278th,+1:01.68,02:39.3,237th,+0:34.21,03:42.1,241st=,+0:42.69,02:26.0,272nd,+0:22.71,02:38.1,457th,+0:31.76,03:45.2,224th,+0:36.25,,
237th,113,Gareth Sheppard,#endurochodes,M,Enduro | Veteran Male (40-49),23:17.3,+4:36.74,,,04:05.0,284th,+0:59.71,04:06.5,249th=,+0:58.84,02:35.1,168th=,+0:29.96,03:44.7,283rd,+0:45.30,02:28.3,330th,+0:25.00,02:31.8,305th,+0:25.46,03:46.0,234th=,+0:37.00,,
238th,606,Connor Brooke,Eric Rides,M,Enduro | Senior Male (18-29),23:18.3,+4:37.73,,,03:55.8,202nd,+0:50.59,04:14.5,310th=,+1:06.79,02:42.1,283rd=,+0:37.04,03:45.4,296th,+0:45.95,02:22.1,174th=,+0:18.85,02:27.6,200th=,+0:21.29,03:50.7,277th,+0:41.75,,
239th,306,Brad Swinbank,Scrambled legs,M,Enduro | Senior Male (18-29),23:20.5,+4:39.94,,,03:49.1,143rd,+0:43.90,03:25.8,33rd,+0:18.18,02:24.5,65th,+0:19.39,05:07.1,848th,+2:07.64,02:21.6,160th=,+0:18.31,02:26.8,176th=,+0:20.40,03:45.7,231st,+0:36.65,,
240th,818,Christie Smith,Colne Valley Cycles,M,Enduro | Senior Male (18-29),23:23.8,+4:43.20,,,03:54.1,182nd,+0:48.81,04:01.6,222nd,+0:53.94,02:44.6,321st,+0:39.54,03:48.2,334th,+0:48.75,02:31.9,420th=,+0:28.60,02:38.0,455th,+0:31.69,03:45.4,226th,+0:36.40,,
241st,1136,Lynden Barnard,,M,Enduro | Veteran Male (40-49),23:24.0,+4:43.40,,,03:49.8,146th,+0:44.55,03:54.2,174th,+0:46.55,02:49.3,388th,+0:44.25,03:37.4,191st,+0:37.91,02:30.7,391st,+0:27.46,02:42.4,558th=,+0:36.05,04:00.2,369th,+0:51.16,,
242nd,192,Lewis Stubbs,,M,Enduro | Senior Male (18-29),23:26.3,+4:45.75,,,04:03.9,278th,+0:58.61,04:25.3,410th,+1:17.63,02:38.9,231st=,+0:33.80,03:41.5,230th=,+0:42.00,02:24.9,248th,+0:21.69,02:24.9,142nd,+0:18.55,03:47.0,248th,+0:38.00,,
243rd,391,John Paul Jones,Renegades,M,Enduro | Veteran Male (40-49),23:26.3,+4:45.75,,,04:21.9,463rd,+1:16.60,04:05.3,241st,+0:57.64,02:39.8,247th,+0:34.69,03:41.5,230th=,+0:42.00,02:21.6,162nd=,+0:18.35,02:27.9,205th,+0:21.50,03:48.5,261st,+0:39.50,,
244th,184,Laura Zeitschel,Deviate Cycles,F,Enduro | Master Female (30-39),23:26.5,+4:45.87,,,04:16.2,402nd,+1:10.91,03:53.5,167th,+0:45.89,02:40.3,255th,+0:35.25,03:45.2,292nd=,+0:45.71,02:28.9,346th,+0:25.61,02:35.0,374th,+0:28.69,03:47.3,251st,+0:38.34,,
245th,188,Arlen Darby,,M,Enduro | Senior Male (18-29),23:26.7,+4:46.15,,,04:10.7,343rd,+1:05.50,04:17.2,348th,+1:09.55,02:39.9,249th,+0:34.75,03:40.3,218th=,+0:40.90,02:25.3,255th=,+0:22.04,02:29.4,242nd,+0:23.04,03:43.9,206th,+0:34.90,,
246th,239,Stephen Newland,MM,M,Enduro | Grand Vet Male (50+),23:27.1,+4:46.51,,,04:00.5,240th=,+0:55.25,04:08.9,271st=,+1:01.19,02:39.6,242nd,+0:34.55,03:47.9,326th,+0:48.40,02:27.6,320th,+0:24.35,02:32.6,321st,+0:26.25,03:50.1,269th,+0:41.05,,
247th,556,Simon Schofield,53 Degrees North Racing,M,Enduro | Veteran Male (40-49),23:28.1,+4:47.53,,,04:25.0,500th,+1:19.71,04:02.5,227th=,+0:54.84,02:34.6,160th=,+0:29.45,03:42.8,252nd,+0:43.30,02:23.5,202nd,+0:20.21,02:32.0,312th,+0:25.65,03:47.9,257th,+0:38.90,,
248th,412,Simon Mitchell,4dagram,M,Enduro | Veteran Male (40-49),23:28.2,+4:47.57,,,04:10.2,337th,+1:05.00,04:00.2,210th,+0:52.59,02:40.3,254th,+0:35.21,03:43.8,269th,+0:44.35,02:28.5,339th,+0:25.30,02:32.4,317th=,+0:26.05,03:52.6,294th,+0:43.60,,
249th,372,Dan Richardson,Trec Faktory Racing,M,Enduro | Senior Male (18-29),23:28.4,+4:47.83,,,03:56.9,215th,+0:51.69,03:45.1,103rd,+0:37.44,02:46.8,348th=,+0:41.71,04:12.1,628th,+1:12.61,02:24.4,228th=,+0:21.10,02:31.3,291st,+0:24.95,03:51.9,287th,+0:42.86,,
250th,491,Mark Buckworth,,M,Enduro | Grand Vet Male (50+),23:29.3,+4:48.71,,,03:55.6,199th,+0:50.40,03:52.9,164th,+0:45.19,02:38.1,221st=,+0:33.00,03:47.1,315th,+0:47.70,02:36.0,508th,+0:32.71,02:40.8,515th=,+0:34.44,03:58.8,359th,+0:49.80,,
251st,287,Ricky Graham,,M,Enduro | Master Male (30-39),23:29.6,+4:49.00,,,04:09.3,326th,+1:04.05,04:00.1,209th,+0:52.40,02:38.0,216th=,+0:32.94,03:48.0,330th,+0:48.55,02:26.1,276th,+0:22.80,02:36.0,398th,+0:29.69,03:52.1,288th,+0:43.10,,
252nd,236,Simon Price,TW@T Racing,M,Enduro | Veteran Male (40-49),23:30.0,+4:49.42,,,04:10.6,341st,+1:05.31,04:14.8,315th,+1:07.18,02:38.9,231st=,+0:33.80,03:43.9,270th=,+0:44.45,02:19.7,131st=,+0:16.40,02:25.5,157th,+0:19.11,03:56.7,336th,+0:47.70,,
n/c,1110,Tom Whipham,Tin Donkey Riders,M,Enduro | Master Male (30-39),23:30.6,,,E,04:00.0,n/c,,04:18.6,n/c,,02:41.1,n/c,,03:40.2,n/c,,02:23.3,n/c,,02:28.6,n/c,,03:58.7,n/c,,,
n/c,438,Josh Rhodes,All the gear no idea,M,Enduro | Senior Male (18-29),23:30.7,,,E,04:09.4,n/c,,03:54.0,n/c,,02:37.2,n/c,,03:44.2,n/c,,02:44.7,n/c,,02:36.4,n/c,,03:44.8,n/c,,,
253rd,1063,Robin Brown,High Peak Cycles RT,M,Enduro | Veteran Male (40-49),23:30.9,+4:50.31,H,,04:14.8,384th,+1:09.54,04:19.9,367th,+1:12.20,02:41.9,277th,+0:36.76,03:46.3,305th,+0:46.84,02:20.0,138th,+0:16.70,02:27.4,191st=,+0:21.01,03:40.8,175th,+0:31.79,,
n/c,134,Christopher Lloyd,Aunty Barbra,M,Enduro | Veteran Male (40-49),23:31.0,,,E,04:04.3,n/c,,04:13.5,n/c,,02:38.9,n/c,,03:36.9,n/c,,02:25.3,n/c,,02:27.0,n/c,,04:05.2,n/c,,,
254th,821,Rick Mawer,Midpack Mafia,M,Enduro | Master Male (30-39),23:33.1,+4:52.53,,,03:59.5,234th,+0:54.25,03:49.6,138th,+0:41.95,02:39.8,248th,+0:34.71,03:39.8,214th,+0:40.40,02:31.3,405th,+0:28.00,02:37.6,444th,+0:31.25,04:15.5,512th,+1:06.50,,
255th,17,Helen Gaskell,Specialized UK,F,Enduro | Veteran Female(40-49),23:33.6,+4:53.02,,,04:01.0,250th,+0:55.80,04:19.8,365th,+1:12.18,02:38.3,225th,+0:33.20,03:41.3,228th=,+0:41.90,02:23.2,196th,+0:19.91,02:31.9,309th,+0:25.60,03:58.0,345th,+0:48.96,,
256th,769,Trevor Mingay,Bluebell Hillers,M,Enduro | Master Male (30-39),23:33.8,+4:53.17,,,03:52.7,172nd=,+0:47.50,04:09.1,275th,+1:01.45,02:47.2,350th,+0:42.11,03:52.7,388th,+0:53.25,02:32.4,433rd,+0:29.19,02:35.4,383rd,+0:29.00,03:44.2,207th,+0:35.20,,
257th,656,Tig Arnott,FoD Night Riders,M,Enduro | Master Male (30-39),23:34.5,+4:53.92,,,04:12.4,355th=,+1:07.19,04:15.3,318th,+1:07.65,02:48.6,370th=,+0:43.49,03:42.8,253rd,+0:43.34,02:20.5,148th=,+0:17.25,02:28.2,212th=,+0:21.84,03:46.7,242nd,+0:37.69,,
258th,696,Nick Ames,Gavigan Racing,M,Enduro | Grand Vet Male (50+),23:35.1,+4:54.54,,,04:07.5,311th,+1:02.30,04:06.0,246th,+0:58.34,02:48.7,374th,+0:43.59,03:47.8,325th,+0:48.35,02:22.9,192nd,+0:19.69,02:28.7,226th,+0:22.40,03:53.4,302nd,+0:44.40,,
259th,911,Chris Lambert,,M,Enduro | Master Male (30-39),23:35.5,+4:54.87,,,03:55.2,195th,+0:50.00,03:52.4,158th,+0:44.75,02:41.9,278th=,+0:36.80,03:50.8,365th,+0:51.39,02:32.7,439th=,+0:29.45,02:40.8,517th=,+0:34.45,04:01.6,380th,+0:52.56,,
260th,212,Macauley Quinney,50-01,M,Enduro | Senior Male (18-29),23:35.8,+4:55.16,,,04:24.5,496th,+1:19.29,04:06.3,247th,+0:58.64,02:34.2,156th,+0:29.11,03:38.8,202nd,+0:39.34,02:26.3,288th,+0:23.06,02:33.2,334th,+0:26.84,03:52.4,292nd,+0:43.41,,
261st,204,Steven Pemberton,Forbidden Bike Co,M,Enduro | Master Male (30-39),23:36.0,+4:55.42,,,03:51.5,158th,+0:46.29,03:44.4,100th,+0:36.78,02:42.7,294th,+0:37.55,03:39.0,206th,+0:39.59,02:37.0,529th,+0:33.71,02:39.9,501st,+0:33.59,04:21.4,559th=,+1:12.44,,
262nd,116,Colin Stewart,77 Suspension,M,Enduro | Master Male (30-39),23:36.2,+4:55.60,,,03:51.1,154th,+0:45.89,04:25.8,419th,+1:18.19,02:41.3,266th=,+0:36.15,03:43.1,259th,+0:43.70,02:27.1,308th=,+0:23.85,02:29.6,254th,+0:23.20,03:58.2,347th,+0:49.15,,
263rd,1188,Tom Hollingworth,Ark,M,Enduro | Veteran Male (40-49),23:36.4,+4:55.77,,,04:17.3,420th,+1:12.01,04:30.1,451st,+1:22.49,02:36.7,196th,+0:31.59,03:36.4,178th,+0:36.91,02:22.9,191st,+0:19.64,02:27.8,204th,+0:21.45,03:45.2,222nd=,+0:36.21,,
264th,202,Carl Simpson,Fast Pies,M,Enduro | Master Male (30-39),23:36.6,+4:56.03,,,04:00.9,248th,+0:55.69,04:16.7,339th,+1:09.00,02:43.6,312th,+0:38.46,03:42.2,243rd,+0:42.74,02:24.0,217th,+0:20.71,02:34.9,370th,+0:28.55,03:54.4,313th,+0:45.41,,
265th,432,Adam Smith,Adam,M,Enduro | Master Male (30-39),23:36.8,+4:56.20,,,04:15.3,389th=,+1:10.04,03:59.2,202nd,+0:51.49,02:45.0,322nd,+0:39.94,03:47.5,318th=,+0:48.09,02:27.7,321st,+0:24.41,02:35.8,393rd,+0:29.46,03:46.3,238th,+0:37.30,,
266th,995,Tom Evans,"All Smoke, No Poke",M,Enduro | Master Male (30-39),23:37.2,+4:56.62,,,04:00.8,245th,+0:55.50,04:00.4,212th,+0:52.79,02:55.8,472nd,+0:50.71,03:45.6,297th,+0:46.15,02:37.0,530th,+0:33.75,02:36.5,410th=,+0:30.10,03:41.1,178th,+0:32.15,,
267th,761,Mark Moore,Idiots on Bikes,M,Enduro | Master Male (30-39),23:37.6,+4:57.00,,,03:57.9,222nd,+0:52.61,04:34.5,478th,+1:26.89,02:40.8,261st,+0:35.71,03:44.0,272nd=,+0:44.60,02:26.6,293rd,+0:23.30,02:29.4,244th=,+0:23.06,03:44.4,212th,+0:35.36,,
268th,1186,Ashton Goldsmith,Ark,M,Enduro | Master Male (30-39),23:37.8,+4:57.20,,,04:16.5,412th,+1:11.29,04:12.8,302nd,+1:05.09,02:39.3,234th,+0:34.15,03:46.3,306th,+0:46.85,02:30.3,381st,+0:27.04,02:29.9,265th=,+0:23.50,03:42.8,194th,+0:33.81,,
269th,226,Adam Clarke,Know Fear,M,Enduro | Master Male (30-39),23:38.4,+4:57.86,,,04:07.6,313th,+1:02.40,04:02.9,229th,+0:55.24,02:43.0,300th,+0:37.86,03:51.0,370th,+0:51.55,02:26.8,296th,+0:23.54,02:30.9,286th,+0:24.55,03:56.2,332nd,+0:47.25,,
270th,187,Ben Turner,Diet Coke Rampage Crew,M,Enduro | Veteran Male (40-49),23:38.7,+4:58.16,,,04:09.7,330th,+1:04.50,04:09.2,276th,+1:01.59,02:42.1,283rd=,+0:37.04,03:43.1,258th,+0:43.61,02:24.7,241st,+0:21.44,02:26.7,175th,+0:20.36,04:03.1,392nd,+0:54.15,,
271st,149,Dan Grylls,Bigfoot MBC,M,Enduro | Senior Male (18-29),23:39.1,+4:58.53,,,03:54.0,181st,+0:48.76,04:29.1,444th,+1:21.44,02:46.5,345th=,+0:41.40,03:45.8,298th,+0:46.34,02:25.5,263rd=,+0:22.25,02:30.8,283rd,+0:24.46,03:47.4,253rd,+0:38.41,,
272nd,1086,Alex Unsworth,TFC,M,Enduro | Master Male (30-39),23:39.3,+4:58.67,,,04:03.0,266th,+0:57.80,04:10.2,290th,+1:02.59,02:43.4,308th=,+0:38.30,03:42.4,247th,+0:43.00,02:25.5,263rd=,+0:22.25,02:35.1,377th,+0:28.76,03:59.5,363rd=,+0:50.50,,
273rd,266,Stuart Mccarthy,RAF Gravity Team,M,Enduro | Master Male (30-39),23:39.5,+4:58.88,,,04:09.1,323rd=,+1:03.81,04:25.9,423rd,+1:18.29,02:38.0,215th,+0:32.86,03:43.6,266th,+0:44.14,02:19.1,122nd,+0:15.85,02:25.1,147th,+0:18.71,03:58.7,356th=,+0:49.75,,
274th,826,Scott Hunter,Midpack Mafia,M,Enduro | Master Male (30-39),23:39.5,+4:58.88,,,03:51.7,162nd,+0:46.50,03:44.2,98th,+0:36.49,02:40.4,256th,+0:35.30,03:42.2,244th,+0:42.76,02:42.3,649th,+0:39.05,02:42.4,556th=,+0:36.00,04:16.3,517th,+1:07.31,,
275th,137,Steve Goode,Bare Hill Bikers,M,Enduro | Grand Vet Male (50+),23:41.5,+5:00.93,,,03:53.4,178th,+0:48.16,04:08.7,269th,+1:01.00,02:46.0,334th,+0:40.94,03:52.9,390th,+0:53.41,02:31.5,413th,+0:28.29,02:38.0,451st=,+0:31.60,03:51.1,280th,+0:42.06,,
276th,1114,David Elley,Two Wheeled All Terrain Society,M,Enduro | Veteran Male (40-49),23:43.8,+5:03.22,,,04:15.9,398th,+1:10.66,04:13.1,306th,+1:05.49,02:42.4,290th,+0:37.34,03:36.4,179th=,+0:36.99,02:36.9,525th,+0:33.61,02:30.2,274th=,+0:23.81,03:48.8,262nd,+0:39.85,,
277th,241,Joe Manz,Is That An Atherton?,M,Enduro | Veteran Male (40-49),23:44.2,+5:03.57,,,04:11.3,348th,+1:06.05,04:16.2,333rd,+1:08.59,02:43.0,301st=,+0:37.90,03:45.0,289th=,+0:45.55,02:27.1,308th=,+0:23.85,02:32.1,315th,+0:25.70,03:49.5,265th,+0:40.46,,
n/c,931,Paul Thornberry,,M,Enduro | Master Male (30-39),23:44.5,,,E,03:56.2,n/c,,04:35.1,n/c,,02:43.0,n/c,,03:42.5,n/c,,02:31.6,n/c,,02:32.9,n/c,,03:43.2,n/c,,,
278th,170,James Haworth,FAF,M,Enduro | Master Male (30-39),23:45.5,+5:04.89,,,04:16.4,408th,+1:11.19,04:11.3,295th=,+1:03.59,02:42.7,296th=,+0:37.61,03:34.9,172nd,+0:35.44,02:29.6,357th=,+0:26.35,02:33.3,339th,+0:26.99,03:57.3,340th,+0:48.25,,
279th,60,Jonathan Edwards,DVATC,M,Enduro | Grand Vet Male (50+),23:45.6,+5:05.04,,,03:59.9,237th,+0:54.69,04:21.0,377th,+1:13.39,02:43.1,303rd,+0:37.96,03:46.3,307th,+0:46.90,02:28.6,341st,+0:25.34,02:33.1,331st,+0:26.75,03:53.5,304th,+0:44.54,,
280th,256,Martin Lambert,Pegleg and Friends,M,Enduro | Master Male (30-39),23:46.4,+5:05.84,,,04:18.2,435th,+1:12.94,04:25.6,414th,+1:17.98,02:32.0,134th=,+0:26.86,03:46.1,304th,+0:46.65,02:25.4,261st,+0:22.19,02:31.4,293rd,+0:25.00,03:47.7,255th,+0:38.75,,
281st,309,Jamie Stephenson,Scrambled legs,M,Enduro | Master Male (30-39),23:47.4,+5:06.85,,,04:16.3,407th,+1:11.10,04:03.2,231st,+0:55.53,02:46.3,338th=,+0:41.20,03:43.0,256th,+0:43.55,02:38.5,565th=,+0:35.20,02:33.5,340th,+0:27.15,03:46.6,241st,+0:37.65,,
282nd,1059,Alan Strang,Team Moron,M,Enduro | Veteran Male (40-49),23:48.2,+5:07.63,,,04:10.0,332nd,+1:04.70,04:21.2,379th,+1:13.49,02:42.1,282nd,+0:36.95,03:43.3,263rd=,+0:43.86,02:23.6,205th=,+0:20.31,02:30.0,271st=,+0:23.65,03:58.2,348th,+0:49.20,,
283rd,437,Matthew Carey,All beans no toast,M,Enduro | Senior Male (18-29),23:48.4,+5:07.84,,,04:13.0,361st,+1:07.71,04:17.6,353rd,+1:09.99,02:39.8,246th,+0:34.65,03:42.1,240th,+0:42.66,02:22.5,183rd,+0:19.26,02:33.0,330th,+0:26.60,04:00.5,373rd,+0:51.50,,
284th,191,Lee Scragg,,M,Enduro | Master Male (30-39),23:49.8,+5:09.24,,,04:09.1,323rd=,+1:03.81,04:27.8,436th,+1:20.09,02:40.6,258th,+0:35.46,03:45.2,294th=,+0:45.80,02:24.4,235th,+0:21.16,02:29.9,269th,+0:23.55,03:52.9,298th,+0:43.90,,
285th,641,William Hinde,,M,Enduro | Senior Male (18-29),23:50.0,+5:09.45,,,04:11.0,347th,+1:05.79,04:22.7,394th,+1:15.00,02:45.4,327th,+0:40.34,03:37.8,195th,+0:38.34,02:28.5,336th=,+0:25.21,02:34.3,358th,+0:27.95,03:50.3,271st=,+0:41.35,,
286th,770,Jake Lomax,,M,Enduro | Veteran Male (40-49),23:50.6,+5:09.97,,,04:08.4,320th,+1:03.16,04:12.4,301st,+1:04.69,02:40.7,259th,+0:35.55,03:46.5,310th,+0:47.05,02:31.8,419th,+0:28.59,02:38.6,467th,+0:32.25,03:52.2,290th=,+0:43.21,,
287th,1007,Mathew Thorogood,,M,Enduro | Master Male (30-39),23:50.9,+5:10.31,,,04:01.7,254th,+0:56.44,04:04.0,234th=,+0:56.34,02:52.6,429th,+0:47.51,03:49.7,349th=,+0:50.30,02:31.9,420th=,+0:28.60,02:31.7,301st,+0:25.36,03:59.3,361st,+0:50.29,,
288th,155,Damian Brown,Bikegoo,M,Enduro | Veteran Male (40-49),23:52.9,+5:12.27,,,03:55.2,194th,+0:49.91,04:26.4,425th,+1:18.79,02:40.8,262nd,+0:35.75,03:52.0,378th,+0:52.50,02:29.9,365th=,+0:26.60,02:28.3,215th=,+0:21.90,04:00.3,372nd,+0:51.35,,
289th,796,Kieran Wilson,,M,Enduro | Senior Male (18-29),23:53.9,+5:13.27,,,04:03.8,277th,+0:58.56,03:49.3,135th,+0:41.68,03:00.6,536th,+0:55.50,03:50.9,366th=,+0:51.46,02:30.7,390th,+0:27.40,02:36.3,408th,+0:29.99,04:02.2,386th,+0:53.21,,
290th,1062,Matthew Pratley,Team Moron / Freeride Cycle Coaching,M,Enduro | Veteran Male (40-49),23:54.2,+5:13.57,,,04:19.8,450th,+1:14.51,04:25.9,420th=,+1:18.24,02:42.3,288th,+0:37.24,03:41.6,234th,+0:42.20,02:20.6,150th,+0:17.30,02:29.7,260th=,+0:23.36,03:54.2,312th,+0:45.25,,
291st,19,Nyle Cresswell,50/01,M,Enduro | Senior Male (18-29),23:54.5,+5:13.87,,,03:44.0,110th,+0:38.70,03:36.4,64th,+0:28.69,02:23.2,56th,+0:18.05,06:07.6,882nd,+3:08.14,02:14.4,62nd=,+0:11.19,02:21.7,97th,+0:15.34,03:27.3,62nd,+0:18.29,,
292nd,448,Matt Robinson,Fit4racing,M,Enduro | Veteran Male (40-49),23:55.0,+5:14.37,,,04:06.9,302nd,+1:01.66,04:08.5,268th,+1:00.89,02:44.5,320th,+0:39.36,03:56.9,442nd,+0:57.49,02:30.6,388th,+0:27.35,02:37.2,433rd,+0:30.80,03:50.3,271st=,+0:41.35,,
293rd,224,Jason King,Know Fear,M,Enduro | Grand Vet Male (50+),23:55.2,+5:14.56,,,04:16.3,405th,+1:11.06,04:11.3,295th=,+1:03.59,02:42.9,298th,+0:37.79,03:46.8,312th,+0:47.39,02:25.2,254th,+0:21.95,02:29.9,265th=,+0:23.50,04:02.8,391st,+0:53.81,,
294th,343,Mark Johnson,Team Bike Scene,M,Enduro | Veteran Male (40-49),23:55.5,+5:14.94,,,04:18.6,442nd,+1:13.36,04:16.2,331st,+1:08.54,02:45.9,332nd,+0:40.80,03:44.2,276th,+0:44.74,02:29.8,362nd=,+0:26.55,02:34.2,355th,+0:27.84,03:46.6,240th,+0:37.64,,
295th,888,Padraic Buckley,Side Berms,M,Enduro | Veteran Male (40-49),23:56.7,+5:16.06,,,04:18.2,436th,+1:12.95,04:05.1,238th,+0:57.44,02:43.3,305th,+0:38.15,03:41.3,226th,+0:41.84,02:26.0,274th=,+0:22.79,02:36.0,395th=,+0:29.61,04:06.8,426th,+0:57.81,,
296th,1174,Adam Wight,Specialized UK,M,Enduro | Master Male (30-39),23:57.4,+5:16.84,,,04:03.6,272nd,+0:58.34,04:31.0,455th,+1:23.30,02:49.3,385th,+0:44.19,03:41.8,235th,+0:42.39,02:26.3,284th,+0:23.01,02:29.3,240th,+0:22.95,03:56.2,330th,+0:47.19,,
