Pos,No.,Name,Team,Class,Time,Behind,Hardtail,S1: Fox Racing,S1: Fox Racing Position,S2: Camelbak,S2: Camelbak Position,S3: Maxxis,S3: Maxxis Position,S4: Hope,S4: Hope Position,S5: Peatys,S5: Peatys Position,S6: Exposure,S6: Exposure Position,S7: Julbo,S7: Julbo Position
521st,1125,David Balshaw,Adventure Scotland,Enduro | Senior Male,00:25:35.9,+6:10.14, ,00:05:16.3,516th,00:04:03.2,567th,00:03:38.0,460th,00:03:53.4,602nd,00:02:52.5,759th,00:03:01.6,669th,00:02:50.7,544th
522nd,322,John Summerill, ,Enduro | Veteran Male,00:25:36.0,+6:10.26, ,00:05:10.7,464th,00:04:00.4,535th,00:03:45.5,565th,00:03:52.3,589th,00:02:53.0,769th,00:03:06.2,756th=,00:02:48.0,496th=
523rd,252,Matthew Green,AVMB,Enduro | Senior Male,00:25:38.7,+6:12.89, ,00:05:21.4,580th,00:04:01.6,557th,00:03:50.0,626th,00:03:48.4,536th,00:02:48.9,691st,00:02:57.9,600th,00:02:50.5,541st=
524th,1027,Aidan Woollaston, ,Enduro | Veteran Male,00:25:38.9,+6:13.08, ,00:05:29.4,659th,00:04:01.0,546th,00:03:42.3,523rd,00:03:55.6,620th,00:02:44.5,600th,00:03:01.2,663rd=,00:02:44.9,440th
525th,650,Tom Calvert,Marsden MTB,Enduro | Senior Male,00:25:39.9,+6:14.13, ,00:05:24.3,604th,00:04:15.9,694th,00:03:41.4,512th,00:03:46.1,496th,00:02:43.2,568th,00:02:51.2,399th=,00:02:57.8,648th=
526th,1007,Simon Davies,Tweed Valley Wheelers,Enduro | Master Male,00:25:40.5,+6:14.73, ,00:05:18.9,550th,00:04:01.1,548th,00:03:51.8,645th=,00:04:01.5,686th=,00:02:44.1,589th,00:02:53.5,477th,00:02:49.5,522nd=
527th,809,Ste Pike,Rad Bike Shack,Enduro | Master Male,00:25:40.5,+6:14.76, ,00:05:40.3,738th,00:03:47.0,374th,00:03:24.8,220th,00:03:33.9,286th,00:02:37.2,387th,00:03:40.6,950th,00:02:56.8,630th
528th,1134,Frankie Lee, ,Enduro | Grand Vet Male,00:25:40.6,+6:14.80, ,00:05:21.0,574th,00:04:08.9,625th,00:03:43.0,536th=,00:03:55.4,618th,00:02:46.3,640th,00:02:55.9,536th,00:02:50.1,530th
529th,585,Lewis Peacock,Royal Air Force Gravity Enduro team,Enduro | Senior Male,00:25:40.6,+6:14.87, ,00:05:12.7,479th,00:03:53.5,452nd,00:03:51.9,649th,00:04:27.5,858th,00:02:40.4,486th=,00:02:53.1,461st=,00:02:41.6,370th
530th,62,Katy Sunter,Splatshop,Enduro | Master Female,00:25:40.6,+6:14.87, ,00:05:19.4,554th,00:04:00.2,532nd,00:03:49.0,610th,00:03:47.8,526th=,00:02:55.5,806th=,00:03:03.3,695th,00:02:45.4,453rd
531st,1043,Pete Osborne,Sheffield Dirt Society,Enduro | Master Male,00:25:40.9,+6:15.16, ,00:05:26.3,629th,00:04:14.2,675th,00:03:45.7,568th,00:03:47.9,528th,00:02:38.2,418th,00:02:53.0,456th,00:02:55.7,616th=
532nd,291,Jamie Webb, ,Enduro | Veteran Male,00:25:41.6,+6:15.80, ,00:05:16.0,512th,00:03:53.0,446th,00:03:47.0,583rd,00:03:53.6,605th,00:02:51.5,743rd,00:03:02.6,680th,00:02:57.8,650th
533rd,497,John Doyle,Gravity BC,Enduro | Senior Male,00:25:42.3,+6:16.51, ,00:05:33.2,686th,00:03:53.8,458th,00:04:00.6,723rd,00:03:51.9,585th,00:02:42.9,557th,00:02:51.0,391st,00:02:48.9,510th
534th,45,Ian Taylor,"Pedalabikeaway , Vittoria Tyres",Enduro | Senior Male,00:25:42.4,+6:16.66, ,00:07:04.6,966th,00:03:00.4,14th,00:04:09.0,776th,00:03:08.7,29th,00:02:20.1,34th,00:02:31.4,25th,00:03:28.4,855th
535th,431,Gabriele Gelgotaite,Expert Bike Repair,Enduro | Senior Female,00:25:42.5,+6:16.74, ,00:05:29.8,663rd,00:04:14.6,678th=,00:03:44.5,554th,00:03:42.8,437th,00:02:42.4,540th,00:02:53.2,465th,00:02:55.4,608th
536th,675,Jamie Mcfarlane,Midlothian Cycle Club,Enduro | Master Male,00:25:45.6,+6:19.80, ,00:05:18.7,543rd,00:04:06.1,596th,00:03:51.0,638th=,00:03:50.2,560th,00:02:46.1,637th=,00:03:04.4,718th,00:02:49.1,514th
537th,746,Billy Sewart,Northern collective,Enduro | Senior Male,00:25:45.8,+6:20.07, ,00:05:20.7,573rd,00:04:07.3,610th,00:03:39.5,490th,00:03:47.4,519th,00:02:44.9,613th,00:03:00.4,648th=,00:03:05.8,733rd
538th,661,Chris Yarrow,Merlot's Mates,Enduro | Veteran Male,00:25:46.1,+6:20.38, ,00:05:25.5,618th,00:04:04.8,579th,00:03:40.0,496th,00:03:51.6,581st,00:02:42.6,546th,00:03:04.2,710th,00:02:57.6,644th
539th,1185,Tom Marchment,Hunt Bike Wheels,Enduro | Master Male,00:25:46.5,+6:20.77, ,00:05:23.5,598th,00:04:19.7,726th=,00:04:06.6,762nd,00:03:48.1,530th,00:02:36.2,353rd=,00:02:49.3,339th,00:02:43.0,407th
540th,468,Gordon Inch,Death or Glory,Enduro | Veteran Male,00:25:46.6,+6:20.82, ,00:05:34.6,696th,00:03:56.7,491st,00:03:50.7,634th,00:03:47.5,521st,00:02:45.5,626th,00:02:55.7,534th,00:02:55.8,620th
541st,880,Anthony Readman, ,Enduro | Master Male,00:25:47.1,+6:21.33, ,00:05:30.6,668th,00:04:18.0,713th,00:03:42.3,521st,00:03:48.8,542nd,00:02:35.6,326th=,00:02:55.0,512th,00:02:56.8,631st
542nd,1184,Cat Hart,Biketreks,Enduro | Veteran Female,00:25:47.4,+6:21.61, ,00:05:22.1,584th=,00:04:09.6,629th,00:03:47.4,590th,00:03:53.1,598th,00:02:45.7,630th=,00:02:57.3,582nd,00:02:52.1,562nd=
543rd,30,Neal Waterman,Pinned TV,Enduro | Veteran Male,00:25:47.4,+6:21.66, ,00:05:50.6,807th,00:03:50.7,417th,00:03:37.1,438th,00:03:57.1,641st,00:02:42.0,525th,00:03:00.5,651st=,00:02:49.5,522nd=
544th,662,Dan Hirst,Merlot's Mates,Enduro | Veteran Male,00:25:48.0,+6:22.23, ,00:05:25.5,619th,00:04:05.3,588th,00:03:39.4,487th=,00:03:50.1,558th,00:02:43.8,578th,00:03:03.1,691st,00:03:00.8,683rd
545th,86,Sally Buckworth,TNR,Enduro | Veteran Female,00:25:48.0,+6:22.25, ,00:05:09.7,448th,00:04:19.1,723rd,00:03:51.4,641st=,00:03:46.8,508th,00:02:49.2,696th=,00:03:00.5,651st=,00:02:51.3,553rd
546th,527,Steven Jackson,Human Engineering,Enduro | Hardtail Male,00:25:50.2,+6:24.47, ,00:05:26.6,635th,00:04:11.1,643rd,00:03:55.9,679th=,00:03:53.7,606th,00:02:43.3,569th,00:02:52.4,442nd,00:02:47.4,490th
547th,202,Jamie Cooper,#shredthecabg,Enduro | Master Male,00:25:50.5,+6:24.75, ,00:05:24.8,611th,00:04:00.2,531st,00:03:47.2,589th,00:03:51.1,578th,00:02:49.3,699th=,00:03:00.3,646th,00:02:57.6,645th
548th,766,Steve Howes,Onion Terror,Enduro | Master Male,00:25:50.8,+6:25.00, ,00:05:26.1,627th,00:04:19.0,720th,00:03:49.5,615th,00:03:53.1,599th,00:02:45.6,627th,00:02:51.0,392nd=,00:02:46.5,472nd
549th,1033,Ellie Forgan,Innercycle',Enduro | Master Female,00:25:51.2,+6:25.40, ,00:05:26.3,630th,00:04:12.4,656th,00:03:49.3,613th,00:03:46.8,510th,00:02:40.1,477th,00:03:04.5,721st,00:02:51.7,559th
550th,439,Alex Strachan,Fat n furious,Enduro | Master Male,00:25:51.2,+6:25.40, ,00:05:22.5,589th,00:04:01.1,549th,00:03:45.0,561st,00:03:52.8,594th,00:02:48.5,680th=,00:03:03.7,705th,00:02:57.5,643rd
551st,1140,Fran Pearson, ,Enduro | Veteran Male,00:25:52.2,+6:26.46, ,00:05:16.2,514th,00:04:20.1,729th,00:03:44.8,557th,00:03:56.7,633rd=,00:02:44.8,610th,00:02:56.5,548th=,00:02:53.2,579th
552nd,660,Ryan Groves,Merlot's Mates,Enduro | Veteran Male,00:25:52.2,+6:26.48, ,00:05:19.4,555th,00:04:10.6,638th,00:03:47.8,595th,00:03:52.6,593rd,00:02:48.5,679th,00:03:04.3,713th,00:02:49.2,518th
553rd,1086,Alex Zaffiro,FodMTB,Enduro | Master Male,00:25:52.4,+6:26.68, ,00:05:18.8,544th,00:04:00.8,543rd,00:03:51.8,647th,00:03:56.0,624th,00:02:49.0,692nd,00:02:57.2,578th=,00:02:59.0,664th
554th,616,Thomas Ebbrell,Team Peril Pie,Enduro | Senior Male,00:25:53.1,+6:27.28, ,00:05:12.9,480th,00:04:06.4,600th,00:03:52.2,651st,00:03:52.0,587th,00:02:49.3,699th=,00:02:53.4,472nd,00:03:06.9,741st
555th,1049,Alison Clarke, ,Enduro | Master Female,00:25:54.2,+6:28.41, ,00:05:23.3,597th,00:04:14.0,672nd,00:03:48.0,597th,00:03:56.7,635th,00:02:42.7,551st,00:02:56.8,562nd,00:02:52.7,574th
556th,903,Lee Smith,Swindon MTB Enthusiasts,Enduro | Veteran Male,00:25:54.4,+6:28.65, ,00:06:07.8,876th,00:04:15.9,693rd,00:03:33.9,382nd,00:03:42.6,435th,00:02:35.7,334th,00:02:56.7,560th=,00:02:41.7,374th
557th,685,Martin Page,MLCB,Enduro | Grand Vet Male,00:25:55.4,+6:29.62, ,00:05:17.2,524th,00:04:00.2,533rd,00:03:58.9,706th,00:03:54.8,613th,00:02:48.1,668th,00:02:59.0,621st,00:02:57.2,638th
558th,851,Liam Raby, ,Enduro | Master Male,00:25:55.5,+6:29.75, ,00:05:26.5,633rd=,00:03:59.7,527th,00:03:47.6,593rd,00:03:49.5,553rd,00:02:45.8,633rd,00:02:58.7,615th=,00:03:07.6,747th
559th,1047,Lee Smith,Franks head,Enduro | Master Male,00:25:55.9,+6:30.12, ,00:05:11.7,475th,00:04:01.2,552nd,00:03:38.8,475th,00:04:38.6,889th,00:02:36.6,366th=,00:02:52.0,424th,00:02:57.1,636th
560th,699,Jack Buckley,Team Monduro,Enduro | Master Male,00:25:59.1,+6:33.34, ,00:06:15.9,898th,00:03:49.5,403rd,00:03:38.7,474th,00:03:48.2,531st,00:02:39.9,467th,00:02:57.5,584th,00:02:49.3,520th
561st,218,Sam Fifield, ,Enduro | Master Male,00:25:59.2,+6:33.38, ,00:05:24.7,609th,00:04:12.8,659th,00:03:45.9,571st,00:03:46.7,507th,00:02:42.9,555th,00:02:59.0,620th,00:03:07.2,745th
562nd,577,Neil Williams,Lavatrax,Enduro | Master Male,00:25:59.2,+6:33.41, ,00:05:35.7,702nd,00:04:08.5,622nd,00:03:40.9,508th,00:03:53.8,608th,00:02:42.5,543rd,00:02:54.8,505th,00:03:03.0,710th
563rd,638,Chris Ward,Manx MTB Enduro,Enduro | Master Male,00:25:59.7,+6:33.98, ,00:05:36.3,705th,00:04:14.1,674th,00:03:46.6,579th,00:03:55.5,619th,00:02:46.5,644th,00:02:53.6,481st,00:02:47.1,486th
564th,1041,James Orsborn, ,Enduro | Veteran Male,00:25:59.9,+6:34.09, ,00:05:24.9,612th,00:04:11.1,644th,00:03:43.1,540th,00:03:59.3,666th,00:02:39.5,455th,00:03:09.6,811th,00:02:52.4,570th=
565th,982,Dave Milner,The Pork Pie Syndicate,Enduro | Master Male,00:26:00.6,+6:34.80, ,00:05:13.9,490th,00:04:50.5,879th,00:03:27.1,257th,00:03:43.6,452nd,00:02:45.0,616th,00:03:00.6,654th,00:02:59.9,676th
566th,398,Russell Costello,dogs might fly,Enduro | Master Male,00:26:01.9,+6:36.18, ,00:05:30.9,670th,00:04:09.7,630th,00:03:40.4,499th,00:03:57.3,643rd,00:02:48.8,686th,00:03:03.2,693rd=,00:02:51.6,556th
567th,792,Simon Furphy,POWER,Enduro | Senior Male,00:26:02.1,+6:36.35, ,00:04:43.8,151st,00:03:42.1,301st,00:03:27.5,261st=,00:03:26.1,172nd,00:02:28.3,136th,00:02:46.8,271st=,00:05:27.5,950th
568th,558,Andrew Butler, ,Enduro | Master Male,00:26:02.8,+6:37.07, ,00:05:13.7,487th,00:03:51.9,432nd,00:03:27.8,268th,00:03:44.2,462nd,00:02:37.9,405th=,00:02:42.9,165th,00:04:24.5,939th
569th,469,Jason Cram,Death or Glory,Enduro | Veteran Male,00:26:03.4,+6:37.65, ,00:05:26.7,640th,00:04:05.0,584th,00:03:49.8,623rd=,00:03:51.7,584th,00:02:47.2,654th,00:03:06.7,769th=,00:02:56.2,625th
570th,764,Stuart Cox,olipar,Enduro | Master Male,00:26:04.8,+6:39.04, ,00:05:18.9,547th=,00:04:38.5,835th,00:03:40.4,500th,00:03:50.9,570th=,00:02:50.4,728th,00:02:54.0,491st,00:02:51.8,560th
571st,878,Georgia Leslie,SPECIALIZED RIDER SUPPORT TEAM,Enduro | Senior Female,00:26:05.1,+6:39.29, ,00:05:48.9,793rd,00:04:14.7,682nd,00:03:47.5,591st,00:03:51.7,582nd=,00:02:45.4,624th,00:02:50.2,368th,00:02:46.7,479th
572nd,533,Phillip Dalton,Ivy Woods,Enduro | Master Male,00:26:05.6,+6:39.87, ,00:05:27.7,645th,00:04:12.9,662nd,00:03:51.2,640th,00:04:01.8,690th,00:02:42.1,529th=,00:03:00.9,659th,00:02:49.0,513th
573rd,619,Tony Franklin,Team Peril Pie,Enduro | Grand Vet Male,00:26:07.0,+6:41.20, ,00:05:17.5,528th,00:04:15.4,689th,00:03:55.8,678th,00:03:57.9,649th,00:02:49.3,705th,00:03:01.7,670th,00:02:49.3,519th
574th,550,Adam Webster,KLMTB,Enduro | Senior Male,00:26:07.5,+6:41.75, ,00:05:24.1,601st,00:04:05.5,591st,00:03:45.7,569th=,00:04:15.7,805th,00:02:43.2,565th,00:02:53.8,484th,00:02:59.6,673rd
575th,649,Gary Haigh,Marsden MTB,Enduro | Master Male,00:26:07.8,+6:42.01, ,00:05:22.8,594th,00:04:17.3,705th,00:03:53.0,656th=,00:03:52.3,590th,00:02:47.5,658th,00:02:59.5,631st=,00:02:55.4,610th
576th,872,James Slater,Slater,Enduro | Master Male,00:26:08.2,+6:42.44, ,00:05:25.1,616th,00:04:59.1,904th,00:03:43.6,544th,00:03:45.6,486th,00:02:37.3,389th,00:02:47.4,284th,00:02:50.1,529th
577th,160,Roger Baker,Walton Street Cycles,Enduro | Veteran Male,00:26:09.4,+6:43.68, ,00:05:25.6,620th,00:04:22.0,737th=,00:03:48.2,603rd,00:03:48.9,544th,00:02:47.9,663rd=,00:03:04.6,722nd,00:02:52.3,569th
578th,1197,Rob Millington,High Peak Cycles,Enduro | Senior Male,00:26:10.4,+6:44.66, ,00:05:10.5,463rd,00:04:16.5,699th,00:03:42.5,527th=,00:04:02.3,696th,00:02:46.5,642nd=,00:02:58.7,614th,00:03:13.5,798th
579th,841,Peter Kinney,SAMM,Enduro | Grand Vet Male,00:26:10.6,+6:44.86, ,00:05:30.4,665th,00:04:13.8,670th,00:03:53.8,664th,00:03:57.3,644th,00:02:45.1,623rd,00:02:59.8,636th,00:02:50.5,541st=
580th,914,Stewart Barker, ,Enduro | Master Male,00:26:11.4,+6:45.59, ,00:05:17.7,532nd,00:03:55.3,473rd,00:03:39.7,494th,00:04:20.9,833rd,00:02:45.7,630th=,00:03:07.6,792nd,00:03:04.5,718th
581st,1054,Adam Smith,Stage 1 Cycles Hawes,Enduro | Master Male,00:26:11.7,+6:45.94, ,00:05:20.2,565th,00:04:23.4,749th,00:03:45.7,569th=,00:03:56.2,627th=,00:02:44.2,591st=,00:03:03.6,702nd=,00:02:58.4,656th
582nd,1025,Mark Perry, ,Enduro | Grand Vet Male,00:26:11.7,+6:45.98, ,00:05:39.1,724th,00:04:07.3,613th,00:03:33.2,372nd=,00:03:57.9,647th=,00:02:44.8,612th,00:03:04.9,730th=,00:03:04.4,717th
583rd,712,Carl Fitzgerald,Mr T Racing,Enduro | Veteran Male,00:26:11.9,+6:46.12, ,00:04:57.3,282nd,00:04:46.5,871st,00:03:36.7,432nd,00:03:44.9,477th,00:02:36.9,376th=,00:02:48.3,306th,00:03:41.2,893rd
584th,730,Jody Allen, ,Enduro | Master Male,00:26:11.9,+6:46.18, ,00:05:38.9,722nd,00:04:21.6,736th,00:03:36.1,420th,00:03:37.0,328th,00:02:36.6,369th,00:02:49.4,343rd,00:03:32.3,865th
585th,884,Paul Sisson,Squeelers Wheelers,Enduro | Grand Vet Male,00:26:12.4,+6:46.59, ,00:05:28.1,648th,00:04:16.8,700th,00:03:40.5,502nd=,00:03:56.9,639th,00:02:44.1,587th,00:03:02.2,675th,00:03:03.7,711th
586th,852,Tom Rushworth, ,Enduro | Master Male,00:26:13.3,+6:47.52, ,00:05:32.7,682nd,00:04:06.0,595th,00:03:59.7,715th,00:03:49.5,554th=,00:02:43.4,573rd,00:03:02.3,678th,00:02:59.7,675th
587th,286,John Lumsdon, ,Enduro | Senior Male,00:26:13.8,+6:48.02, ,00:05:20.4,568th,00:04:11.4,648th,00:03:49.6,616th,00:03:48.8,543rd,00:02:46.8,646th,00:03:22.2,907th,00:02:54.6,593rd
588th,617,Phil Chambers,Team Peril Pie,Enduro | Senior Male,00:26:13.9,+6:48.13, ,00:05:21.8,582nd,00:04:15.6,691st,00:03:55.3,671st,00:03:57.7,646th,00:02:48.7,684th,00:02:59.2,626th,00:02:55.7,616th=
589th,1065,Ian Rickard,Bigfoot MBC,Enduro | Veteran Male,00:26:14.8,+6:49.04, ,00:05:22.7,592nd,00:04:13.4,666th=,00:03:55.0,668th,00:03:50.9,575th,00:02:55.4,804th,00:03:02.2,676th=,00:02:55.2,606th
590th,210,Rob Jennison,ADRENALINE CYCLES,Enduro | Veteran Male,00:26:14.9,+6:49.15, ,00:05:47.4,782nd,00:04:03.3,568th,00:03:55.7,676th,00:03:50.6,566th,00:02:51.6,745th,00:02:54.2,494th,00:02:52.1,562nd=
591st,656,Chris Orr,Marton Masive,Enduro | Master Male,00:26:15.9,+6:50.15, ,00:05:23.9,600th,00:04:13.6,668th,00:03:53.5,659th,00:04:02.0,691st,00:02:47.2,653rd,00:02:59.3,629th=,00:02:56.5,628th=
592nd,796,Josh Shelton,PRH Racing,Enduro | Senior Male,00:26:16.1,+6:50.30, ,00:05:27.9,646th,00:04:06.2,597th,00:03:51.7,643rd,00:03:52.5,592nd,00:02:40.4,486th=,00:03:04.8,728th,00:03:12.5,789th
593rd,1152,Christian Erga,Sweet Protection,Enduro | Veteran Male,00:26:16.6,+6:50.78, ,00:05:19.7,559th=,00:04:32.2,804th,00:03:55.0,669th,00:03:56.7,636th,00:02:40.3,482nd=,00:02:57.8,599th,00:02:54.8,598th
594th,945,Matthew Whittaker,Matthew Whittaker,Enduro | Veteran Male,00:26:18.3,+6:52.51, ,00:05:34.3,690th=,00:04:20.0,728th,00:03:46.0,572nd=,00:03:59.0,664th,00:02:46.5,642nd=,00:03:07.5,791st,00:02:45.0,441st
595th,812,Andrew Soulsby,Radbikes,Enduro | Veteran Male,00:26:18.7,+6:52.90, ,00:05:31.1,672nd,00:04:27.7,779th,00:03:51.0,638th=,00:03:55.2,615th,00:02:40.9,502nd,00:03:00.6,655th,00:02:52.2,568th
596th,94,Mark Wilkinson,BM-eX,Enduro | Master Male,00:26:18.9,+6:53.12, ,00:05:29.3,658th,00:04:00.3,534th,00:03:59.6,714th,00:03:56.9,638th,00:02:49.2,696th=,00:03:06.4,765th,00:02:57.1,637th
597th,461,Matthew Hall, ,Enduro | Master Male,00:26:19.4,+6:53.65, ,00:05:39.1,723rd,00:04:10.2,635th,00:03:59.5,712th,00:03:55.3,616th=,00:02:46.7,645th,00:02:56.1,540th,00:02:52.5,573rd
598th,805,Lloyd Lapidge,Ardshlong,Enduro | Master Male,00:26:20.0,+6:54.20, ,00:05:22.1,586th,00:04:06.6,601st,00:04:06.2,760th,00:03:58.8,662nd,00:02:49.7,718th,00:03:00.4,648th=,00:02:56.1,623rd
599th,834,Robert Umpleby,Mad Adventures Clan,Enduro | Senior Male,00:26:20.0,+6:54.24, ,00:05:28.5,651st,00:04:09.0,626th,00:03:50.4,631st,00:04:10.6,775th,00:02:47.5,659th,00:02:57.1,573rd=,00:02:57.0,635th
600th,741,Kevin Fothergill,Norfolk n Chance,Enduro | Veteran Male,00:26:20.4,+6:54.66, ,00:05:24.1,602nd,00:04:25.3,766th,00:03:50.2,628th,00:03:58.8,661st,00:02:49.2,698th,00:02:58.0,604th,00:02:54.8,599th
601st,1111,David Smart, ,Enduro | Master Male,00:26:21.6,+6:55.80, ,00:05:07.2,406th,00:04:12.7,658th,00:03:48.1,600th,00:03:50.2,561st,00:03:23.6,955th,00:03:04.4,716th,00:02:55.3,607th
602nd,806,John Parr,Rad Bike Shack,Enduro | Master Male,00:26:24.3,+6:58.54, ,00:05:18.6,540th=,00:04:56.9,900th,00:03:43.1,541st,00:03:50.9,574th,00:02:42.3,536th,00:03:04.5,719th,00:02:48.0,496th=
603rd,290,Johnny Heseltine, ,Enduro | Senior Male,00:26:24.3,+6:58.54, ,00:05:34.3,692nd,00:04:05.4,589th=,00:04:00.1,720th,00:03:53.3,600th,00:02:52.6,761st,00:03:03.7,706th,00:02:54.8,600th
604th,731,Chris Harding,No Hope,Enduro | Veteran Male,00:26:24.7,+6:58.90, ,00:05:14.1,492nd,00:04:07.3,614th,00:03:50.6,632nd,00:03:56.7,632nd,00:02:51.3,740th,00:03:06.3,762nd,00:03:18.5,825th
605th,256,Daniel Betts,B&DCC,Enduro | Senior Male,00:26:25.7,+6:59.96, ,00:05:36.4,706th,00:04:19.0,721st,00:03:46.0,572nd=,00:04:00.2,675th,00:02:49.4,707th,00:03:02.2,676th=,00:02:52.4,570th=
606th,822,Jaime Lunn,Return of the JOMBWABF,Enduro | Veteran Male,00:26:26.3,+7:00.55, ,00:05:18.6,542nd,00:04:22.2,741st,00:03:46.7,580th,00:03:57.1,642nd,00:02:50.1,725th,00:03:11.6,834th,00:03:00.0,677th
607th,261,Andrew Clark,B&DCC,Enduro | Grand Vet Male,00:26:26.4,+7:00.59, ,00:05:31.4,673rd,00:04:07.0,606th,00:03:53.5,661st,00:03:58.6,658th,00:02:48.5,680th=,00:03:06.0,753rd,00:03:01.4,690th
608th,124,Clive Meredith,Saga Uplifts,Enduro | Grand Vet Male,00:26:29.7,+7:03.91, ,00:05:39.3,729th,00:04:10.9,640th,00:03:52.1,650th,00:03:54.1,610th,00:02:48.9,689th=,00:03:08.3,799th,00:02:56.2,624th
609th,1147,Stuart Disndale,Stif,Enduro | Veteran Male,00:26:30.0,+7:04.23, ,00:08:30.0,994th,00:03:37.9,248th,00:03:18.5,153rd,00:03:27.3,195th,00:02:28.5,141st,00:02:41.7,148th,00:02:26.3,117th
610th,244,Sarah Collinson,doom666,Enduro | Senior Female,00:26:30.0,+7:04.23, ,00:05:49.8,798th,00:03:59.5,522nd,00:03:56.9,693rd,00:03:56.4,630th,00:02:53.8,783rd,00:03:03.2,692nd,00:02:50.4,537th
611th,270,David Smith,Bad Brains MBC,Enduro | Veteran Male,00:26:30.5,+7:04.75, ,00:05:35.2,698th,00:04:05.0,583rd,00:03:54.7,667th,00:04:02.1,692nd,00:02:53.7,782nd,00:03:04.2,711th,00:02:55.6,615th
612th,1098,Joe Callaghan, ,Enduro | Master Male,00:26:30.6,+7:04.81, ,00:05:21.1,576th,00:04:07.1,607th,00:03:44.0,548th,00:03:51.9,586th,00:02:51.8,751st,00:03:01.4,667th,00:03:33.4,870th
613th,121,Don Mitchell,Saga Uplifts,Enduro | Grand Vet Male,00:26:30.8,+7:05.01, ,00:05:38.1,716th,00:04:16.0,696th,00:03:48.8,609th,00:03:57.5,645th,00:02:51.7,747th=,00:03:04.5,720th,00:02:54.1,585th
614th,176,Mike Corkill,Twelve50 Bikes,Enduro | Grand Vet Male,00:26:32.6,+7:06.87, ,00:04:52.9,228th,00:03:40.0,271st,00:06:31.2,955th,00:03:27.7,200th=,00:02:37.8,403rd,00:02:51.7,417th,00:02:31.2,181st
615th,811,Gary Howarth,Rad Bike Shack,Enduro | Master Male,00:26:32.9,+7:07.13, ,00:05:25.1,617th,00:04:22.2,740th,00:03:53.6,662nd,00:04:03.9,709th=,00:02:45.7,629th,00:03:07.4,786th,00:02:55.0,602nd
616th,1011,Craig Parsons,Hairy parsons,Enduro | Veteran Male,00:26:33.2,+7:07.40, ,00:05:31.6,675th,00:04:02.6,562nd,00:03:51.8,648th,00:04:02.2,694th=,00:02:49.8,719th,00:03:03.5,698th,00:03:11.6,783rd
617th,485,Elliott Raine,GERK,Enduro | Senior Male,00:26:33.6,+7:07.83, ,00:05:30.8,669th,00:04:25.1,764th,00:03:49.8,623rd=,00:03:55.7,622nd,00:02:49.4,709th,00:02:52.0,422nd=,00:03:10.7,771st
618th,575,Lee Mallows,RAFCA,Enduro | Master Male,00:26:34.7,+7:08.97, ,00:05:32.3,678th,00:04:17.6,710th,00:03:56.6,692nd,00:03:55.8,623rd,00:02:47.9,665th,00:02:59.5,631st=,00:03:05.0,727th=
619th,966,Alex Worrall,Kernow Kamikaze,Enduro | Veteran Male,00:26:35.1,+7:09.37, ,00:05:34.3,690th=,00:04:32.7,807th,00:03:43.0,539th,00:03:58.7,659th,00:02:45.0,618th,00:02:56.2,543rd,00:03:05.2,729th
620th,454,Joe Dorrington,Fen Boys,Enduro | Master Male,00:26:35.6,+7:09.82, ,00:05:34.5,694th,00:04:10.0,634th,00:04:04.8,752nd,00:03:58.2,651st,00:02:56.5,821st,00:02:56.6,552nd,00:02:54.9,601st
621st,1115,Mark Stevens,Stevo's MTB Solutions,Enduro | Master Male,00:26:35.8,+7:10.03, ,00:05:29.5,660th,00:04:28.0,782nd,00:03:52.4,653rd,00:03:53.9,609th,00:02:48.2,671st=,00:03:04.4,717th,00:02:59.4,671st
622nd,583,Ben Morrell,Lazy Pushbike Boys,Enduro | Senior Male,00:26:37.5,+7:11.76, ,00:05:05.9,380th,00:05:06.0,920th,00:03:56.4,690th,00:03:49.5,552nd,00:02:46.4,641st,00:02:57.9,601st,00:02:55.4,609th
623rd,267,John Puddy,Bad Brains MBC,Enduro | Master Male,00:26:38.1,+7:12.28, ,00:05:44.0,763rd=,00:04:18.2,715th,00:03:55.6,675th,00:04:00.8,679th,00:02:49.5,714th=,00:02:57.8,596th,00:02:52.1,561st
624th,876,Thomas Smith,Smith Brothers,Enduro | Master Male,00:26:39.2,+7:13.41, ,00:05:22.1,584th=,00:04:11.4,647th,00:03:50.8,635th,00:04:41.3,893rd,00:02:40.0,474th,00:03:02.9,687th,00:02:50.8,546th
625th,999,Amy Jones,Trailmunki.com,Enduro | Master Female,00:26:39.8,+7:14.05, ,00:05:40.6,742nd,00:04:03.0,565th,00:04:19.1,833rd,00:03:56.8,637th,00:02:47.5,660th,00:03:03.3,696th,00:02:49.5,522nd=
626th,751,Matthew Hand,Northern Metal,Enduro | Master Male,00:26:40.4,+7:14.63, ,00:05:24.6,608th,00:04:18.6,718th,00:04:07.8,770th,00:04:03.9,709th=,00:02:44.7,609th,00:03:00.3,645th,00:03:00.5,680th
627th,433,Cameron Burlinson, ,Enduro | Master Male,00:26:40.7,+7:14.92, ,00:05:31.8,676th,00:03:52.5,441st,00:03:56.3,684th=,00:03:51.0,577th,00:02:42.7,550th,00:02:50.1,363rd,00:03:56.2,916th
